name,CD,hausdorff,p2f avg,p2f std
03991062.57202d9819dc44c67d8ecc181daf1385.xyz,0.0006198586,0.018334856,0.0030665556,0.0048034145
03642806.b6b27929b34cec44125129881929616c.xyz,0.0004053688,0.003515524,-,-
02924116.d23dfcd55f78a48041cefd10ce5d6cc0.xyz,0.0002378169,0.007869938,0.00089820265,0.0018797129
03691459.70acca9ae753b952c71de83a48ed3076.xyz,0.0001060698,0.0014509365,0.0014771598,0.0021840357
03948459.b3ea2d0331ec9ec650544cd7fa263944.xyz,0.00013622077,0.0042295274,0.0011235437,0.0019850447
04468005.52dacb5f2a7118d2aa28dc6884266713.xyz,0.00015119472,0.0020439518,0.0016542593,0.0023905819
04468005.efcf0fbc2d749875f18e4d26315469b1.xyz,0.00019576732,0.003752702,0.0018320146,0.003144592
04090263.b3e73818cd2e03c080149f7d680e9c1a.xyz,5.6139288e-05,0.0014460164,0.00093638914,0.0014104943
eight.xyz,0.0002035026,0.00082749734,0.0013067941,0.0012292527
03337140.4374f1908ef835b1b25f5f33b0704a5d.xyz,0.0010258087,0.012492693,0.0023775809,0.003669681
02801938.be3c2533130dd3da55f46d55537192b6.xyz,0.0003679187,0.0035154256,0.0008146071,0.0012966486
03642806.7da524a31c9cfe22ea8725c845547c21.xyz,0.00019771513,0.0042562974,0.00068441156,0.0015321033
03261776.91a17b47f79aca8b2ed3579bacedc134.xyz,0.00053078163,0.0070670694,0.0016026052,0.0032732263
02828884.2b065fc9d62f1540ad5067eac75a07f7.xyz,0.0002036023,0.004769389,0.002002242,0.002920966
03938244.89fd3acbd34e72106a6cca39468798a8.xyz,0.0002315696,0.0010821512,0.00050764956,0.00048522546
02946921.17ef524ca4e382dd9d2ad28276314523.xyz,0.00069133507,0.012649646,0.0020883984,0.0022345388
m355.xyz,0.00030689721,0.002701858,0.002484941,0.0030607944
02818832.6df4a4c52c90d70d438e4ded908f7146.xyz,0.0006682835,0.01104698,0.0033204276,0.0058736075
03467517.3243edb05f5e8803ac61a2f8346a8f.xyz,6.2954045e-05,0.0008459842,0.00073991716,0.0012058268
02946921.38dd2a8d2c984e2b6c1cd53dbc9f7b8e.xyz,0.000369425,0.0022041453,0.0008403247,0.0010744021
03710193.d80f223e5e1c96d8e4ae8899818510b8.xyz,9.018176e-05,0.0015649815,0.0005370939,0.0010445773
03928116.ce7a03d645722d503f7e27638e63d848.xyz,0.0012783774,0.02309179,0.0019990543,0.0034965537
elk.xyz,0.0003980675,0.007448261,0.002913153,0.0050055613
02691156.37f2f187a1582704a29fef5d2b2f3d7.xyz,0.00016215502,0.003306083,0.0016831855,0.0024187549
kitten.xyz,0.00036780717,0.0033151507,0.0017760552,0.0022421991
03991062.7ade1ebc752ac3a1713f2e93cbeac35d.xyz,0.00047036546,0.0043116664,0.0008882957,0.0013111952
m32.xyz,0.0001843546,0.0033185205,0.0013049993,0.002463197
02954340.40f0c6599f0be25fce01c07526cf2aa4.xyz,0.00014852012,0.0036757,0.00049148087,0.0012695206
04554684.957ddf9eb718876dc2180858eb6a5f28.xyz,0.00084481365,0.025690572,0.0020488473,0.003666324
coverrear_Lp.xyz,0.00044055484,0.0061607314,0.0025703372,0.0052487343
03467517.900c3823f47a8ad1d57700c05b1862d8.xyz,0.00029588718,0.0044123065,0.00084132154,0.001237177
04554684.725bbfc557d3e1b9b5af85a5be833ee.xyz,0.0007338716,0.010046852,0.0021098657,0.0034320862
03710193.5a81ffe8b9acace8e51d90f0237045d2.xyz,0.00018026498,0.0018250654,0.0006383689,0.0010858454
02843684.e49629ce9c305ea6c725388bb41d64e3.xyz,0.00079648243,0.01511014,0.002849171,0.005404285
02958343.3776e4d1e2587fd3253c03b7df20edd5.xyz,0.0007920088,0.012650217,0.0032973166,0.004046739
m333.xyz,0.00032498746,0.0046062674,0.0025243338,0.0036350684
statue_rome_aligned.xyz,0.00015867472,0.003223902,0.0028630893,0.004085607
04004475.97735b38d3b229d5e8be809ecac11dd.xyz,0.0005705602,0.010300163,0.0019740378,0.0030057617
02876657.a1bc36109cd382b78340c8802f48c170.xyz,0.000329262,0.0027579414,0.0014348633,0.00092891353
03211117.c12a485b4241be83b70b5d25a1334116.xyz,0.00034111843,0.007793499,0.0011737926,0.0023550803
04460130.17e229dbb42786e6b164f257e05e5435.xyz,0.00035822266,0.00935147,0.001208114,0.0022059276
02924116.75fc875e3d2bd8fbf01129d246a5d1a5.xyz,0.00028152717,0.0059099565,0.0022560214,0.003262336
horse.xyz,0.0002308673,0.0029003823,0.0017110864,0.0025205016
02954340.254e230d31a62470a52821bf1aa3b19a.xyz,0.0071909465,0.030298254,0.00061372336,0.00070079096
04401088.58ece48e59781da1fd0a2086d631b6a0.xyz,0.0004178001,0.007963869,0.0025067455,0.0032663776
04330267.298fc1492df14dbc96c91a9093ecb199.xyz,0.0015977242,0.018051317,0.003052628,0.004839507
cow.xyz,0.00016701408,0.0032081618,0.0021596747,0.0031137331
03759954.ed1328cfa8749bb8d80ce3f2fd66be0.xyz,6.768872e-05,0.000910289,0.00071180763,0.0010640686
03513137.7f8767aac7a5bbefef6f32a2a0bd4e8f.xyz,0.0005133792,0.021530272,0.001189023,0.0024515232
03636649.a11dd450220af960ca70272754aeb3c9.xyz,0.00032424834,0.005456069,0.001086687,0.0017922508
casting.xyz,0.00046440103,0.005214055,0.005136814,0.0066043455
02773838.cd1e74f430acfaf0504721639e19f609.xyz,0.00042849875,0.0075025037,0.0025287797,0.003967533
02933112.c4802a2901dcd6e84da5feafe6f1c8fc.xyz,0.0007248998,0.011684398,0.0026568854,0.003477347
03790512.8cf5bd117e04da6d6a3456c0ab5674a9.xyz,0.00030778412,0.004518051,-,-
chair.xyz,0.00024856537,0.0034435713,0.0028548746,0.0038364283
03759954.c0aaca906293380f1242824b4827fe77.xyz,0.0004625265,0.0031987468,0.0009409774,0.0014187398
03261776.56c4d7e643d6a7286329e8c7b28434da.xyz,0.00022008097,0.0015420169,0.0014607387,0.0018123434
elephant.xyz,0.0002475803,0.0023668245,0.0021255375,0.0030609765
genus3.xyz,0.0003246051,0.0052272556,0.0016068405,0.0023586804
02691156.65b12fc357604a2587b2a887422ab97.xyz,0.00018139949,0.0096001215,0.0010765928,0.0017830038
star.xyz,0.00044654313,0.0017120428,0.0012762675,0.0010244957
11509_Panda_v4.xyz,0.00035994354,0.007017651,0.002539247,0.00438508
02808440.e814a58e52652f43e702e0688ba77bb0.xyz,0.00023737355,0.003270966,0.0009575249,0.0016327328
04004475.d0ee507ba98a89525df8d70b74fdbdb5.xyz,0.0005975772,0.013402112,0.0013868912,0.0027527425
04530566.e456eded209aac05a8b0c9e2ebd8eeb.xyz,0.00011359453,0.019963445,0.0010061259,0.0018196722
02871439.b7b5978bbb72747f9a2615537bdd5695.xyz,0.00043451082,0.005436527,0.0023360697,0.004618186
02747177.c50c72eefe225b51cb2a965e75be701c.xyz,0.0014709807,0.023423394,0.0045990064,0.0064337873
04099429.d781243cc1d1d2e91a0ec553feb1c2c3.xyz,6.574308e-05,0.0011705115,0.0005027327,0.0009057848
03636649.5f24434ac22353708749901456352d5.xyz,0.00014560229,0.004725905,0.0012299309,0.0073057697
03790512.f736168c42267866eba25bbcd3786140.xyz,0.00061394944,0.0092036305,-,-
03948459.edec08542b9312b712b38b1d99376c0b.xyz,0.00012086168,0.0030031323,0.0009932498,0.0018334518
02747177.f76b14ffc2fe6c7485eb407ec5a0fadd.xyz,0.001133446,0.0109285535,0.0032992475,0.0035187057
04379243.bd39b7924b0f69359d0d74633db4834d.xyz,0.00060659763,0.018310593,0.0024744296,0.0042202477
02958343.9e52d425db48a33bbda733a39f84326d.xyz,0.00037472096,0.005779599,0.002308029,0.003839294
pig.xyz,0.00032123743,0.008826963,0.001691685,0.0033798807
statue_dragon_aligned.xyz,0.00033395243,0.0056989123,0.004364792,0.0058164787
02880940.ae5c7d8a453d3ef736b0f2a1430e993a.xyz,0.00044693548,0.0027401578,0.0007605131,0.0011728562
02942699.4700873107186c6e2203f435e9e6785.xyz,0.00050991523,0.010768516,0.0019027675,0.0047515295
fandisk.xyz,0.00025680556,0.0030436898,0.0019690096,0.0034098064
02773838.756066117169dbc96c1d5082d1bdea19.xyz,0.0003061397,0.006985386,0.0013256941,0.0025344419
02808440.18a3dd79ce17724bfe52ffd0e748a1ab.xyz,0.00024504837,0.0021310572,0.0015967485,0.0018210183
03691459.e7af5657b90b9a73558880eed6ddb84a.xyz,0.001434793,0.0132985255,0.0037175566,0.004828033
statue_ramesses_aligned.xyz,0.00018486028,0.0027502675,0.0031509195,0.0048781475
04460130.35824a59a19511c538cd8eb23853c009.xyz,7.387356e-05,0.00073439046,0.0012896985,0.0018640478
03325088.e762df4624be42054c62bee40dcdc539.xyz,0.00018498869,0.0027324692,0.0009729223,0.0015840351
03624134.ff949d2335a226fde1c0dc67e69df88e.xyz,0.000875594,0.018767588,0.00056867284,0.00065619487
03593526.98317e58cb7f2c5c598a453fd9fbd988.xyz,0.000299211,0.010843752,0.0019659786,0.0030960767
04530566.2e447f96f152a33a7428866500a95dd8.xyz,0.00029417485,0.0059600826,0.0014054335,0.0019511648
02876657.29cad22b0fc6c9985f16c469ffeb982e.xyz,0.00020226004,0.004574963,0.00094564515,0.0012408105
03001627.720fd0a6c8cf65e772ee08e78374a212.xyz,0.00027831117,0.010434703,0.0018775389,0.0027826729
03001627.7eb7574764b397c3e87e9b3f41906a3d.xyz,0.00043783378,0.0067947363,0.0021585748,0.0029701628
03928116.a6b26dfef15ace459e0d848896b0095f.xyz,0.00033644037,0.01814184,0.0017883835,0.0038836203
03624134.13d183a44f143ca8c842482418ab083d.xyz,4.126166e-05,0.0012525287,0.00041232313,0.00061635085
03325088.5ba6bb8365b474f773ecd661ad15c4dd.xyz,0.00031003766,0.005561472,0.0019366901,0.0029038345
m60.xyz,0.00011457864,0.0024081187,0.0013329638,0.002380758
04256520.a4ecec332f0ac0d22906e6acfda251cd.xyz,0.0006196961,0.009041292,0.0026333958,0.003568315
04225987.95c69877104059fd1389cf37af584e4b.xyz,8.6268716e-05,0.002709549,0.0007770811,0.0011227056
02942699.b27815a2bde54ad3ab3dfa44f5fab01.xyz,0.0008085227,0.013511254,0.0022020258,0.003109834
03593526.26b9ede17422ff5b84cd259bd328e92a.xyz,0.00070809526,0.0072190166,0.002219343,0.003014476
02818832.cecc7a6677eab8accf9f37ec17841254.xyz,0.0007074448,0.008458438,0.0026547974,0.0038811695
